commande_id,client_id,date,produit_court,categorie,quantite,prix,total,ville,source
CMD4726,C0019,2026-06-21 19:12:13+00:00,Sérum Repousse Pro,Soin cheveux,1.0,10000.0,10000.0,Douala,Shopify_2026
CMD4725,C0020,2026-06-21 18:29:02+00:00,Sérum Repousse Pro,Soin cheveux,1.0,10000.0,10000.0,Douala,Shopify_2026
CMD4724,C0021,2026-06-21 17:27:56+00:00,Sérum Repousse Pro,Soin cheveux,1.0,10000.0,10000.0,Yaoundé,Shopify_2026
CMD4723,C0022,2026-06-21 17:27:40+00:00,Sérum Repousse Pro,Soin cheveux,1.0,10000.0,10000.0,Autre,Shopify_2026
CMD4722,C0023,2026-06-21 17:13:31+00:00,Sérum Repousse Pro,Soin cheveux,1.0,10000.0,10000.0,Autre,Shopify_2026
CMD4721,C0024,2026-06-21 16:45:02+00:00,Anti-Double Menton,Soin visage,1.0,9900.0,9900.0,Autre,Shopify_2026
CMD4720,C0025,2026-06-21 16:19:22+00:00,Sérum Repousse Pro,Soin cheveux,1.0,10000.0,10000.0,Douala,Shopify_2026
CMD4719,C0026,2026-06-21 16:08:06+00:00,Anti-Double Menton,Soin visage,1.0,9900.0,9900.0,Bafoussam,Shopify_2026
CMD4718,C0027,2026-06-21 13:46:08+00:00,Sérum Repousse Pro,Soin cheveux,1.0,10000.0,10000.0,Bertoua,Shopify_2026
CMD4717,C0028,2026-06-21 13:21:52+00:00,Anti-Double Menton,Soin visage,2.0,9900.0,16300.0,Autre,Shopify_2026
CMD4716,C0029,2026-06-21 09:53:36+00:00,Anti-Double Menton,Soin visage,1.0,9900.0,9900.0,Autre,Shopify_2026
CMD4715,C0030,2026-06-21 09:49:45+00:00,Sérum Repousse Pro,Soin cheveux,1.0,10000.0,10000.0,Douala,Shopify_2026
CMD4714,C0031,2026-06-21 09:42:51+00:00,Sérum Repousse Pro,Soin cheveux,1.0,10000.0,10000.0,Douala,Shopify_2026
CMD4713,C0032,2026-06-21 08:54:06+00:00,Sérum Repousse Pro,Soin cheveux,1.0,10000.0,10000.0,Yaoundé,Shopify_2026
CMD4712,C0033,2026-06-21 08:51:44+00:00,Anti-Double Menton,Soin visage,1.0,9900.0,9900.0,Autre,Shopify_2026
CMD4711,C0034,2026-06-21 08:36:31+00:00,Sérum Repousse Pro,Soin cheveux,1.0,10000.0,10000.0,Garoua,Shopify_2026
CMD4710,C0035,2026-06-21 07:40:21+00:00,Anti-Double Menton,Soin visage,1.0,9900.0,9900.0,Autre,Shopify_2026
CMD4709,C0036,2026-06-21 07:36:45+00:00,Sérum Repousse Pro,Soin cheveux,1.0,10000.0,10000.0,Douala,Shopify_2026
CMD4708,C0037,2026-06-21 07:24:09+00:00,Anti-Double Menton,Soin visage,1.0,9900.0,9900.0,Autre,Shopify_2026
CMD4707,C0038,2026-06-21 07:22:43+00:00,Sérum Repousse Pro,Soin cheveux,1.0,10000.0,10000.0,Autre,Shopify_2026
CMD4706,C0039,2026-06-21 07:04:36+00:00,Sérum Repousse Pro,Soin cheveux,1.0,10000.0,10000.0,Douala,Shopify_2026
CMD4705,C0040,2026-06-21 06:49:23+00:00,Sérum Repousse Pro,Soin cheveux,1.0,10000.0,10000.0,Buea,Shopify_2026
CMD4704,C0041,2026-06-21 06:08:32+00:00,Sérum Repousse Pro,Soin cheveux,1.0,10000.0,10000.0,Autre,Shopify_2026
CMD4703,C0042,2026-06-21 06:03:03+00:00,Anti-Double Menton,Soin visage,1.0,9900.0,9900.0,Autre,Shopify_2026
CMD4702,C0043,2026-06-21 05:25:54+00:00,Sérum Repousse Pro,Soin cheveux,1.0,10000.0,10000.0,Douala,Shopify_2026
CMD4701,C0018,2026-06-21 05:01:26+00:00,Sérum Repousse Pro,Soin cheveux,1.0,10000.0,10000.0,Garoua,Shopify_2026
CMD4700,C0001,2026-06-21 04:54:00+00:00,Anti-Double Menton,Soin visage,1.0,9900.0,9900.0,Maroua,Shopify_2026
CMD4699,C0025,2026-06-21 04:04:11+00:00,Sérum Repousse Pro,Soin cheveux,1.0,10000.0,10000.0,Douala,Shopify_2026
CMD4698,C0044,2026-06-21 03:49:44+00:00,Sérum Repousse Pro,Soin cheveux,1.0,10000.0,10000.0,Autre,Shopify_2026
CMD4697,C0045,2026-06-21 01:33:06+00:00,Sérum Repousse Pro,Soin cheveux,1.0,10000.0,10000.0,Buea,Shopify_2026
CMD4696,C0046,2026-06-21 00:25:02+00:00,Sérum Repousse Pro,Soin cheveux,1.0,10000.0,10000.0,Autre,Shopify_2026
CMD4695,C0047,2026-06-21 00:18:15+00:00,Sérum Repousse Pro,Soin cheveux,1.0,10000.0,10000.0,Garoua,Shopify_2026
CMD4694,C0048,2026-06-20 23:35:03+00:00,Anti-Double Menton,Soin visage,1.0,9900.0,9900.0,Autre,Shopify_2026
CMD4693,C0049,2026-06-20 23:11:30+00:00,Sérum Repousse Pro,Soin cheveux,1.0,10000.0,10000.0,Autre,Shopify_2026
CMD4692,C0026,2026-06-20 19:06:02+00:00,Anti-Double Menton,Soin visage,1.0,9900.0,9900.0,Bafoussam,Shopify_2026
CMD4691,C0050,2026-06-20 09:15:50+00:00,Clé USB 3.0,High-Tech,1.0,12900.0,12900.0,Autre,Shopify_2026
CMD4690,C0051,2026-06-20 09:05:47+00:00,Anti-Double Menton,Soin visage,1.0,9900.0,9900.0,Autre,Shopify_2026
CMD4689,C0052,2026-06-20 08:29:12+00:00,Clé USB 3.0,High-Tech,1.0,12900.0,12900.0,Bamenda,Shopify_2026
CMD4688,C0053,2026-06-20 07:53:21+00:00,Clé USB 3.0,High-Tech,1.0,12900.0,12900.0,Douala,Shopify_2026
CMD4687,C0054,2026-06-20 07:20:28+00:00,GlowGel,Soin visage,1.0,9900.0,9900.0,Douala,Shopify_2026
CMD4686,C0055,2026-06-20 06:58:16+00:00,Anti-Double Menton,Soin visage,1.0,9900.0,9900.0,Yaoundé,Shopify_2026
CMD4685,C0056,2026-06-20 06:30:27+00:00,Clé USB 3.0,High-Tech,1.0,12900.0,12900.0,Douala,Shopify_2026
CMD4684,C0057,2026-06-20 05:21:03+00:00,Clé USB 3.0,High-Tech,1.0,12900.0,12900.0,Autre,Shopify_2026
CMD4683,C0058,2026-06-20 04:43:47+00:00,Clé USB 3.0,High-Tech,1.0,12900.0,12900.0,Autre,Shopify_2026
CMD4682,C0059,2026-06-20 03:21:10+00:00,Clé USB 3.0,High-Tech,1.0,12900.0,12900.0,Douala,Shopify_2026
CMD4681,C0060,2026-06-20 03:17:09+00:00,Clé USB 3.0,High-Tech,1.0,12900.0,12900.0,Autre,Shopify_2026
CMD4680,C0061,2026-06-20 01:58:12+00:00,GlowGel,Soin visage,1.0,9900.0,9900.0,Douala,Shopify_2026
CMD4679,C0062,2026-06-20 01:06:48+00:00,GlowGel,Soin visage,1.0,9900.0,9900.0,Autre,Shopify_2026
CMD4678,C0063,2026-06-20 00:51:25+00:00,GlowGel,Soin visage,1.0,9900.0,9900.0,Autre,Shopify_2026
CMD4677,C0064,2026-06-19 23:24:57+00:00,Clé USB 3.0,High-Tech,1.0,12900.0,12900.0,Douala,Shopify_2026
CMD4676,C0065,2026-06-19 23:19:46+00:00,GlowGel,Soin visage,1.0,9900.0,9900.0,Autre,Shopify_2026
CMD4675,C0066,2026-06-19 23:13:22+00:00,GlowGel,Soin visage,1.0,9900.0,9900.0,Autre,Shopify_2026
CMD4674,C0067,2026-06-19 23:08:31+00:00,Clé USB 3.0,High-Tech,1.0,12900.0,12900.0,Douala,Shopify_2026
CMD4673,C0068,2026-06-19 23:07:53+00:00,GlowGel,Soin visage,1.0,9900.0,9900.0,Autre,Shopify_2026
CMD4672,C0069,2026-06-19 21:38:47+00:00,Clé USB 3.0,High-Tech,1.0,12900.0,12900.0,Douala,Shopify_2026
CMD4671,C0070,2026-06-19 19:51:01+00:00,Clé USB 3.0,High-Tech,1.0,12900.0,12900.0,Douala,Shopify_2026
CMD4670,C0071,2026-06-19 19:07:37+00:00,Clé USB 3.0,High-Tech,1.0,12900.0,12900.0,Autre,Shopify_2026
CMD4669,C0072,2026-06-19 18:36:18+00:00,Clé USB 3.0,High-Tech,1.0,12900.0,12900.0,Autre,Shopify_2026
CMD4668,C0073,2026-06-19 18:23:20+00:00,Clé USB 3.0,High-Tech,1.0,12900.0,12900.0,Yaoundé,Shopify_2026
CMD4667,C0074,2026-06-19 18:18:44+00:00,Clé USB 3.0,High-Tech,1.0,12900.0,12900.0,Douala,Shopify_2026
CMD4666,C0075,2026-06-19 17:54:04+00:00,Clé USB 3.0,High-Tech,1.0,12900.0,12900.0,Douala,Shopify_2026
CMD4665,C0076,2026-06-19 12:57:41+00:00,Clé USB 3.0,High-Tech,1.0,12500.0,12500.0,Nkongsamba,Shopify_2026
CMD4664,C0077,2026-06-19 12:18:19+00:00,Clé USB 3.0,High-Tech,1.0,12500.0,12500.0,Autre,Shopify_2026
CMD4663,C0077,2026-06-19 12:15:57+00:00,Clé USB 3.0,High-Tech,1.0,12500.0,12500.0,Autre,Shopify_2026
CMD4662,C0049,2026-06-19 12:13:02+00:00,Clé USB 3.0,High-Tech,1.0,12500.0,12500.0,Autre,Shopify_2026
CMD4661,C0078,2026-06-19 12:05:10+00:00,Clé USB 3.0,High-Tech,1.0,12500.0,12500.0,Yaoundé,Shopify_2026
CMD4660,C0079,2026-06-19 11:35:12+00:00,Clé USB 3.0,High-Tech,1.0,12500.0,12500.0,Autre,Shopify_2026
CMD4659,C0080,2026-06-19 10:07:35+00:00,Clé USB 3.0,High-Tech,1.0,12500.0,12500.0,Autre,Shopify_2026
CMD4658,C0081,2026-06-19 07:22:47+00:00,Clé USB 3.0,High-Tech,1.0,12500.0,12500.0,Yaoundé,Shopify_2026
CMD4657,C0082,2026-06-19 06:44:41+00:00,Clé USB 3.0,High-Tech,1.0,12500.0,12500.0,Autre,Shopify_2026
CMD4656,C0083,2026-06-19 05:47:17+00:00,Clé USB 3.0,High-Tech,2.0,12500.0,21500.0,Yaoundé,Shopify_2026
CMD4655,C0084,2026-06-19 05:18:12+00:00,Clé USB 3.0,High-Tech,1.0,12500.0,12500.0,Autre,Shopify_2026
CMD4654,C0085,2026-06-19 05:12:35+00:00,Clé USB 3.0,High-Tech,1.0,12500.0,12500.0,Yaoundé,Shopify_2026
CMD4653,C0086,2026-06-19 03:45:46+00:00,Clé USB 3.0,High-Tech,1.0,12500.0,12500.0,Douala,Shopify_2026
CMD4652,C0087,2026-06-19 03:30:51+00:00,Sérum Repousse,Soin cheveux,1.0,10000.0,10000.0,Yaoundé,Shopify_2026
CMD4651,C0088,2026-06-19 00:51:42+00:00,Clé USB 3.0,High-Tech,1.0,12500.0,12500.0,Autre,Shopify_2026
CMD4650,C0089,2026-06-18 22:53:53+00:00,Clé USB 3.0,High-Tech,1.0,12500.0,12500.0,Yaoundé,Shopify_2026
CMD4649,C0090,2026-06-18 22:39:03+00:00,Sérum Repousse,Soin cheveux,1.0,10000.0,10000.0,Autre,Shopify_2026
CMD4648,C0091,2026-06-18 22:24:32+00:00,Clé USB 3.0,High-Tech,1.0,12500.0,12500.0,Yaoundé,Shopify_2026
CMD4647,C0092,2026-06-18 22:18:23+00:00,Clé USB 3.0,High-Tech,1.0,12500.0,12500.0,Douala,Shopify_2026
CMD4646,C0093,2026-06-18 22:08:26+00:00,Clé USB 3.0,High-Tech,1.0,12500.0,12500.0,Autre,Shopify_2026
CMD4645,C0094,2026-06-18 21:43:39+00:00,Clé USB 3.0,High-Tech,1.0,12500.0,12500.0,Autre,Shopify_2026
CMD4644,C0095,2026-06-18 20:20:11+00:00,Clé USB 3.0,High-Tech,1.0,12500.0,12500.0,Edéa,Shopify_2026
CMD4643,C0096,2026-06-18 20:10:55+00:00,Clé USB 3.0,High-Tech,1.0,12500.0,12500.0,Dschang,Shopify_2026
CMD4642,C0097,2026-06-18 19:36:22+00:00,Sérum Repousse,Soin cheveux,1.0,10000.0,10000.0,Douala,Shopify_2026
CMD4641,C0098,2026-06-18 18:37:51+00:00,Sérum Repousse,Soin cheveux,1.0,10000.0,10000.0,Autre,Shopify_2026
CMD4640,C0099,2026-06-18 18:24:32+00:00,Sérum Repousse,Soin cheveux,1.0,10000.0,10000.0,Autre,Shopify_2026
CMD4639,C0100,2026-06-18 18:07:01+00:00,Clé USB 3.0,High-Tech,1.0,12500.0,12500.0,Autre,Shopify_2026
CMD4638,C0101,2026-06-18 17:23:11+00:00,Clé USB 3.0,High-Tech,1.0,12500.0,12500.0,Autre,Shopify_2026
CMD4637,C0102,2026-06-18 17:13:26+00:00,Clé USB 3.0,High-Tech,1.0,12500.0,12500.0,Garoua,Shopify_2026
CMD4636,C0103,2026-06-18 16:57:38+00:00,Clé USB 3.0,High-Tech,1.0,12500.0,12500.0,Autre,Shopify_2026
CMD4635,C0104,2026-06-18 16:50:28+00:00,Sérum Repousse,Soin cheveux,2.0,10000.0,16500.0,Maroua,Shopify_2026
CMD4634,C0105,2026-06-18 16:43:20+00:00,Clé USB 3.0,High-Tech,1.0,12500.0,12500.0,Bafoussam,Shopify_2026
CMD4633,C0106,2026-06-18 16:20:01+00:00,Adapteur OTG + 01 Clé USB,High-Tech,1.0,11900.0,11900.0,Autre,Shopify_2026
CMD4632,C0106,2026-06-18 16:18:55+00:00,Adapteur OTG + 01 Clé USB,High-Tech,1.0,11900.0,11900.0,Autre,Shopify_2026
CMD4631,C0107,2026-06-18 15:38:33+00:00,Sérum Repousse,Soin cheveux,1.0,10000.0,10000.0,Autre,Shopify_2026
CMD4630,C0108,2026-06-18 14:38:44+00:00,Sérum Repousse,Soin cheveux,1.0,10000.0,10000.0,Foumban,Shopify_2026
CMD4629,C0109,2026-06-18 14:18:56+00:00,Clé USB 3.0,High-Tech,1.0,12500.0,12500.0,Garoua,Shopify_2026
CMD4628,C0110,2026-06-18 11:36:08+00:00,Sérum Repousse,Soin cheveux,1.0,10000.0,10000.0,Douala,Shopify_2026
CMD4627,C0111,2026-06-18 11:31:37+00:00,Sérum Repousse,Soin cheveux,1.0,10000.0,10000.0,Douala,Shopify_2026
CMD4626,C0112,2026-06-18 10:49:59+00:00,Clé USB 3.0,High-Tech,1.0,12500.0,12500.0,Douala,Shopify_2026
CMD4625,C0113,2026-06-18 10:42:00+00:00,Sérum Repousse,Soin cheveux,1.0,10000.0,10000.0,Yaoundé,Shopify_2026
CMD4624,C0114,2026-06-18 10:00:29+00:00,Clé USB 3.0,High-Tech,1.0,12500.0,12500.0,Yaoundé,Shopify_2026
CMD4623,C0115,2026-06-18 09:19:16+00:00,Clé USB 3.0,High-Tech,1.0,12500.0,12500.0,Douala,Shopify_2026
CMD4622,C0116,2026-06-18 08:56:36+00:00,Clé USB 3.0,High-Tech,1.0,13500.0,13500.0,Douala,Shopify_2026
CMD4621,C0117,2026-06-18 07:01:19+00:00,Clé USB 3.0,High-Tech,1.0,13500.0,13500.0,Douala,Shopify_2026
CMD4620,C0118,2026-06-18 06:59:14+00:00,Clé USB 3.0,High-Tech,1.0,13500.0,13500.0,Yaoundé,Shopify_2026
CMD4619,C0119,2026-06-18 06:49:37+00:00,Sérum Repousse,Soin cheveux,1.0,10000.0,10000.0,Yaoundé,Shopify_2026
CMD4618,C0120,2026-06-18 06:40:15+00:00,Sérum Repousse,Soin cheveux,1.0,10000.0,10000.0,Autre,Shopify_2026
CMD4617,C0121,2026-06-18 06:26:45+00:00,Clé USB 3.0,High-Tech,1.0,13500.0,13500.0,Autre,Shopify_2026
CMD4616,C0122,2026-06-18 05:50:22+00:00,Clé USB 3.0,High-Tech,1.0,13500.0,13500.0,Douala,Shopify_2026
CMD4615,C0123,2026-06-18 05:47:28+00:00,Clé USB 3.0,High-Tech,1.0,13500.0,13500.0,Yaoundé,Shopify_2026
CMD4614,C0124,2026-06-18 05:12:26+00:00,Clé USB 3.0,High-Tech,1.0,13500.0,13500.0,Bertoua,Shopify_2026
CMD4613,C0125,2026-06-18 04:58:12+00:00,Clé USB 3.0,High-Tech,1.0,13500.0,13500.0,Autre,Shopify_2026
CMD4612,C0125,2026-06-18 04:46:18+00:00,Clé USB 3.0,High-Tech,1.0,13500.0,13500.0,Autre,Shopify_2026
CMD4611,C0126,2026-06-18 03:58:06+00:00,Clé USB 3.0,High-Tech,1.0,13500.0,13500.0,Autre,Shopify_2026
CMD4610,C0127,2026-06-18 03:37:23+00:00,Clé USB 3.0,High-Tech,1.0,13500.0,13500.0,Douala,Shopify_2026
CMD4609,C0128,2026-06-18 03:19:24+00:00,Clé USB 3.0,High-Tech,1.0,13500.0,13500.0,Yaoundé,Shopify_2026
CMD4608,C0129,2026-06-17 22:51:22+00:00,Clé USB 3.0,High-Tech,1.0,13500.0,13500.0,Yaoundé,Shopify_2026
CMD4607,C0130,2026-06-17 21:29:21+00:00,Clé USB 3.0,High-Tech,1.0,13500.0,13500.0,Douala,Shopify_2026
CMD4606,C0131,2026-06-17 20:14:06+00:00,Clé USB 3.0,High-Tech,1.0,13500.0,13500.0,Douala,Shopify_2026
CMD4605,C0132,2026-06-17 20:07:18+00:00,Sérum Repousse,Soin cheveux,1.0,10000.0,10000.0,Bertoua,Shopify_2026
CMD4604,C0133,2026-06-17 19:24:14+00:00,Clé USB 3.0,High-Tech,1.0,13500.0,13500.0,Dschang,Shopify_2026
CMD4603,C0134,2026-06-17 18:30:51+00:00,Clé USB 3.0,High-Tech,1.0,13500.0,13500.0,Autre,Shopify_2026
CMD4602,C0135,2026-06-17 18:11:34+00:00,Clé USB 3.0,High-Tech,1.0,13500.0,13500.0,Yaoundé,Shopify_2026
CMD4601,C0136,2026-06-17 18:08:23+00:00,Clé USB 3.0,High-Tech,1.0,13500.0,13500.0,Maroua,Shopify_2026
CMD4600,C0137,2026-06-17 18:02:34+00:00,Clé USB 3.0,High-Tech,1.0,13500.0,13500.0,Douala,Shopify_2026
CMD4599,C0138,2026-06-17 14:53:29+00:00,Clé USB 3.0,High-Tech,1.0,13500.0,13500.0,Autre,Shopify_2026
CMD4598,C0139,2026-06-17 13:57:02+00:00,Clé USB 3.0,High-Tech,1.0,13500.0,13500.0,Douala,Shopify_2026
CMD4597,C0140,2026-06-17 13:28:08+00:00,Clé USB 3.0,High-Tech,1.0,13500.0,13500.0,Douala,Shopify_2026
CMD4596,C0141,2026-06-17 11:51:40+00:00,Clé USB 3.0,High-Tech,1.0,13500.0,13500.0,Yaoundé,Shopify_2026
CMD4595,C0142,2026-06-17 11:28:05+00:00,Clé USB 3.0,High-Tech,1.0,13500.0,13500.0,Buea,Shopify_2026
CMD4594,C0143,2026-06-17 09:53:47+00:00,Clé USB 3.0,High-Tech,1.0,13500.0,13500.0,Douala,Shopify_2026
CMD4593,C0144,2026-06-17 09:34:05+00:00,Sérum Repousse,Soin cheveux,1.0,10000.0,10000.0,Yaoundé,Shopify_2026
CMD4592,C0145,2026-06-17 09:00:23+00:00,Clé USB 3.0,High-Tech,1.0,13500.0,13500.0,Yaoundé,Shopify_2026
CMD4591,C0146,2026-06-17 08:41:22+00:00,Sérum Repousse,Soin cheveux,1.0,10000.0,10000.0,Douala,Shopify_2026
CMD4590,C0147,2026-06-17 08:17:49+00:00,Clé USB 3.0,High-Tech,1.0,13500.0,13500.0,Buea,Shopify_2026
CMD4589,C0148,2026-06-17 08:15:30+00:00,Clé USB 3.0,High-Tech,1.0,13500.0,13500.0,Autre,Shopify_2026
CMD4588,C0149,2026-06-17 08:06:45+00:00,Sérum Repousse,Soin cheveux,1.0,10000.0,10000.0,Douala,Shopify_2026
CMD4587,C0150,2026-06-17 07:36:45+00:00,Sérum Repousse,Soin cheveux,1.0,10000.0,10000.0,Autre,Shopify_2026
CMD4586,C0151,2026-06-17 07:28:35+00:00,Clé USB 3.0,High-Tech,1.0,13900.0,13900.0,Autre,Shopify_2026
CMD4585,C0152,2026-06-17 07:16:13+00:00,Sérum Repousse,Soin cheveux,1.0,10000.0,10000.0,Douala,Shopify_2026
CMD4584,C0153,2026-06-17 07:06:42+00:00,Clé USB 3.0,High-Tech,1.0,13900.0,13900.0,Ngaoundéré,Shopify_2026
CMD4583,C0154,2026-06-17 06:57:49+00:00,Clé USB 3.0,High-Tech,1.0,13900.0,13900.0,Douala,Shopify_2026
CMD4582,C0155,2026-06-17 06:44:50+00:00,Clé USB 3.0,High-Tech,1.0,13900.0,13900.0,Douala,Shopify_2026
CMD4581,C0156,2026-06-17 06:34:58+00:00,Sérum Repousse,Soin cheveux,1.0,10000.0,10000.0,Ngaoundéré,Shopify_2026
CMD4580,C0157,2026-06-17 05:55:02+00:00,Sérum Repousse,Soin cheveux,1.0,10000.0,10000.0,Yaoundé,Shopify_2026
CMD4579,C0012,2026-06-17 05:47:07+00:00,Clé USB 3.0,High-Tech,1.0,13900.0,13900.0,Kumba,Shopify_2026
CMD4578,C0158,2026-06-17 05:40:36+00:00,Clé USB 3.0,High-Tech,1.0,13900.0,13900.0,Autre,Shopify_2026
CMD4577,C0159,2026-06-17 05:17:56+00:00,Sérum Repousse,Soin cheveux,1.0,10000.0,10000.0,Autre,Shopify_2026
CMD4576,C0160,2026-06-17 04:53:18+00:00,Clé USB 3.0,High-Tech,1.0,13900.0,13900.0,Autre,Shopify_2026
CMD4575,C0161,2026-06-17 03:42:55+00:00,Clé USB 3.0,High-Tech,1.0,13900.0,13900.0,Autre,Shopify_2026
CMD4574,C0162,2026-06-17 03:16:47+00:00,Clé USB 3.0,High-Tech,1.0,13900.0,13900.0,Yaoundé,Shopify_2026
CMD4573,C0049,2026-06-17 03:04:01+00:00,Sérum Repousse,Soin cheveux,1.0,10000.0,10000.0,Douala,Shopify_2026
CMD4572,C0163,2026-06-17 02:22:50+00:00,Clé USB 3.0,High-Tech,1.0,13900.0,13900.0,Douala,Shopify_2026
CMD4571,C0164,2026-06-17 02:22:11+00:00,Sérum Repousse,Soin cheveux,1.0,10000.0,10000.0,Yaoundé,Shopify_2026
CMD4570,C0165,2026-06-17 01:51:10+00:00,Sérum Repousse,Soin cheveux,1.0,10000.0,10000.0,Autre,Shopify_2026
CMD4569,C0166,2026-06-17 00:40:53+00:00,Sérum Repousse,Soin cheveux,3.0,10000.0,24000.0,Yaoundé,Shopify_2026
CMD4568,C0167,2026-06-17 00:23:34+00:00,Clé USB 3.0,High-Tech,1.0,13900.0,13900.0,Douala,Shopify_2026
CMD4567,C0168,2026-06-16 23:53:42+00:00,Clé USB 3.0,High-Tech,1.0,13900.0,13900.0,Douala,Shopify_2026
CMD4566,C0169,2026-06-16 23:44:48+00:00,Sérum Repousse,Soin cheveux,1.0,10000.0,10000.0,Douala,Shopify_2026
CMD4565,C0170,2026-06-16 23:30:11+00:00,Sérum Repousse,Soin cheveux,1.0,10000.0,10000.0,Autre,Shopify_2026
CMD4564,C0171,2026-06-16 23:09:47+00:00,Sérum Repousse,Soin cheveux,1.0,10000.0,10000.0,Autre,Shopify_2026
CMD4563,C0172,2026-06-16 22:11:39+00:00,Clé USB 3.0,High-Tech,1.0,13900.0,13900.0,Garoua,Shopify_2026
CMD4562,C0173,2026-06-16 22:11:32+00:00,Clé USB 3.0,High-Tech,1.0,13900.0,13900.0,Autre,Shopify_2026
CMD4561,C0174,2026-06-16 22:08:39+00:00,Clé USB 3.0,High-Tech,1.0,13900.0,13900.0,Douala,Shopify_2026
CMD4560,C0175,2026-06-16 21:45:27+00:00,Clé USB 3.0,High-Tech,1.0,13900.0,13900.0,Autre,Shopify_2026
CMD4559,C0176,2026-06-16 21:18:01+00:00,Clé USB 3.0,High-Tech,1.0,13900.0,13900.0,Autre,Shopify_2026
CMD4558,C0177,2026-06-16 19:09:02+00:00,Clé USB 3.0,High-Tech,1.0,13900.0,13900.0,Douala,Shopify_2026
CMD4557,C0178,2026-06-16 18:57:09+00:00,Clé USB 3.0,High-Tech,1.0,13900.0,13900.0,Autre,Shopify_2026
CMD4556,C0179,2026-06-16 18:39:14+00:00,Clé USB 3.0,High-Tech,1.0,13900.0,13900.0,Autre,Shopify_2026
CMD4555,C0180,2026-06-16 17:52:33+00:00,Clé USB 3.0,High-Tech,1.0,13900.0,13900.0,Autre,Shopify_2026
CMD4554,C0181,2026-06-16 17:13:05+00:00,Clé USB 3.0,High-Tech,1.0,13900.0,13900.0,Douala,Shopify_2026
CMD4553,C0182,2026-06-16 14:58:52+00:00,Clé USB 3.0,High-Tech,1.0,13900.0,13900.0,Yaoundé,Shopify_2026
CMD4552,C0183,2026-06-16 14:56:56+00:00,Clé USB 3.0,High-Tech,1.0,13900.0,13900.0,Bertoua,Shopify_2026
CMD4551,C0184,2026-06-16 14:27:35+00:00,Clé USB 3.0,High-Tech,1.0,13500.0,13500.0,Autre,Shopify_2026
CMD4550,C0185,2026-06-16 12:33:40+00:00,Clé USB 3.0,High-Tech,1.0,13500.0,13500.0,Autre,Shopify_2026
CMD4549,C0186,2026-06-16 10:50:13+00:00,Clé USB 3.0,High-Tech,1.0,13500.0,13500.0,Douala,Shopify_2026
